DOI,Title,Creators
10.5281/zenodo.3592323,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.4039569,Twenty-two Historical Encyclopedias Encoded in TEI: a New Resource for the Digital Humanities,Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.5281/zenodo.7776093,The patccat classifier for patent claims - EPO edition,Bernhard Ganglmair; W. Keith Robinson; Michael Seeligson
10.5281/zenodo.6523400,Gollum: A Gold Standard for Large Scale\\Multi Source Knowledge Graph Matching,Sven Herting; Heiko Paulheim
10.5281/zenodo.1318145,Rdf2Vec Dbpedia Uniform Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320168,Kglove Dbpedia Page Rank Split Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.6509715,DLCC Gold Standard,Jan Portisch; Heiko Paulheim
10.5281/zenodo.4159492,Twenty-two Historical Encyclopedias (Original XML Encoding),Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.5281/zenodo.7817022,Gollum: A Gold Standard for Large Scale\\Multi Source Knowledge Graph Matching,Sven Herting; Heiko Paulheim
10.5281/zenodo.5509912,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.2017355,RDF2Vec DBpedia uniform embeddings in HDF5 file format,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320210,Rdf2Vec Dbpedia Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.7442424,NeMig - A Bilingual News Collection and Knowledge Graph about Migration,Andreea Iana; Mehwish Alam; Alexander Grote; Nevena Nikolajevic; Katharina Ludwig; Philipp Müller; Christof Weinhardt; Heiko Paulheim
10.5281/zenodo.4554112,Twenty-two Historical Encyclopedias Encoded in TEI: a New Resource for the Digital Humanities,Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.5281/zenodo.6395307,patccat: A classifier for patent claims,Bernhard Ganglmair; W. Keith Robinson; Michael Seeligson
10.5281/zenodo.1320041,Rdf2Vec Dbpedia Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.5598009,Overview of preregistrations in the management and marketing fields,Oliver Eriksson
10.5281/zenodo.7189901,Sources of PM2.5-associated Health Risks in Europe and Corresponding Emission-induced Changes during 2005-2015,Yixuan Gu; Daven K. Henze; M. Omar Nawaz; Hansen Cao; Ulrich J. Wagner
10.5281/zenodo.1320014,Rdf2Vec Dbpedia Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
